XTY's ResNet18 starts training!

epoches=200
batch_size=128
weight_decay=0.0

Epoch:   1 | @lr=0.100 @momentum=0.9
[epoch:  1,   1/391] Loss: 2.364 | Accuracy: 7.031%
[epoch:  1,  51/391] Loss: 2.949 | Accuracy: 15.548%
[epoch:  1, 101/391] Loss: 2.520 | Accuracy: 19.114%
[epoch:  1, 151/391] Loss: 2.329 | Accuracy: 22.004%
[epoch:  1, 201/391] Loss: 2.212 | Accuracy: 24.048%
[epoch:  1, 251/391] Loss: 2.129 | Accuracy: 25.744%
[epoch:  1, 301/391] Loss: 2.064 | Accuracy: 27.396%
[epoch:  1, 351/391] Loss: 2.014 | Accuracy: 28.572%

Epoch:   2 | @lr=0.100 @momentum=0.9
[epoch:  2,   1/391] Loss: 1.740 | Accuracy: 34.375%
[epoch:  2,  51/391] Loss: 1.620 | Accuracy: 40.150%
[epoch:  2, 101/391] Loss: 1.593 | Accuracy: 41.058%
[epoch:  2, 151/391] Loss: 1.572 | Accuracy: 41.825%
[epoch:  2, 201/391] Loss: 1.556 | Accuracy: 42.541%
[epoch:  2, 251/391] Loss: 1.536 | Accuracy: 43.367%
[epoch:  2, 301/391] Loss: 1.523 | Accuracy: 43.994%
[epoch:  2, 351/391] Loss: 1.505 | Accuracy: 44.649%

Epoch:   3 | @lr=0.100 @momentum=0.9
[epoch:  3,   1/391] Loss: 1.321 | Accuracy: 52.344%
[epoch:  3,  51/391] Loss: 1.349 | Accuracy: 51.379%
[epoch:  3, 101/391] Loss: 1.317 | Accuracy: 52.336%
[epoch:  3, 151/391] Loss: 1.309 | Accuracy: 52.463%
[epoch:  3, 201/391] Loss: 1.298 | Accuracy: 52.907%
[epoch:  3, 251/391] Loss: 1.284 | Accuracy: 53.421%
[epoch:  3, 301/391] Loss: 1.271 | Accuracy: 53.922%
[epoch:  3, 351/391] Loss: 1.256 | Accuracy: 54.518%

Epoch:   4 | @lr=0.100 @momentum=0.9
[epoch:  4,   1/391] Loss: 1.110 | Accuracy: 60.156%
[epoch:  4,  51/391] Loss: 1.120 | Accuracy: 60.034%
[epoch:  4, 101/391] Loss: 1.120 | Accuracy: 59.971%
[epoch:  4, 151/391] Loss: 1.104 | Accuracy: 60.694%
[epoch:  4, 201/391] Loss: 1.098 | Accuracy: 60.922%
[epoch:  4, 251/391] Loss: 1.092 | Accuracy: 61.109%
[epoch:  4, 301/391] Loss: 1.080 | Accuracy: 61.545%
[epoch:  4, 351/391] Loss: 1.070 | Accuracy: 61.837%

Epoch:   5 | @lr=0.100 @momentum=0.9
[epoch:  5,   1/391] Loss: 0.882 | Accuracy: 68.750%
[epoch:  5,  51/391] Loss: 0.975 | Accuracy: 64.721%
[epoch:  5, 101/391] Loss: 0.965 | Accuracy: 65.347%
[epoch:  5, 151/391] Loss: 0.952 | Accuracy: 65.920%
[epoch:  5, 201/391] Loss: 0.953 | Accuracy: 65.975%
[epoch:  5, 251/391] Loss: 0.945 | Accuracy: 66.219%
[epoch:  5, 301/391] Loss: 0.936 | Accuracy: 66.572%
[epoch:  5, 351/391] Loss: 0.930 | Accuracy: 66.827%

Epoch:   6 | @lr=0.100 @momentum=0.9
[epoch:  6,   1/391] Loss: 0.855 | Accuracy: 75.000%
[epoch:  6,  51/391] Loss: 0.854 | Accuracy: 70.006%
[epoch:  6, 101/391] Loss: 0.846 | Accuracy: 70.274%
[epoch:  6, 151/391] Loss: 0.851 | Accuracy: 70.090%
[epoch:  6, 201/391] Loss: 0.844 | Accuracy: 70.344%
[epoch:  6, 251/391] Loss: 0.839 | Accuracy: 70.502%
[epoch:  6, 301/391] Loss: 0.840 | Accuracy: 70.442%
[epoch:  6, 351/391] Loss: 0.833 | Accuracy: 70.653%

Epoch:   7 | @lr=0.100 @momentum=0.9
[epoch:  7,   1/391] Loss: 0.909 | Accuracy: 67.188%
[epoch:  7,  51/391] Loss: 0.785 | Accuracy: 72.610%
[epoch:  7, 101/391] Loss: 0.780 | Accuracy: 72.757%
[epoch:  7, 151/391] Loss: 0.775 | Accuracy: 72.775%
[epoch:  7, 201/391] Loss: 0.764 | Accuracy: 73.197%
[epoch:  7, 251/391] Loss: 0.756 | Accuracy: 73.472%
[epoch:  7, 301/391] Loss: 0.752 | Accuracy: 73.591%
[epoch:  7, 351/391] Loss: 0.747 | Accuracy: 73.745%

Epoch:   8 | @lr=0.100 @momentum=0.9
[epoch:  8,   1/391] Loss: 0.594 | Accuracy: 78.125%
[epoch:  8,  51/391] Loss: 0.670 | Accuracy: 76.241%
[epoch:  8, 101/391] Loss: 0.680 | Accuracy: 76.006%
[epoch:  8, 151/391] Loss: 0.678 | Accuracy: 75.890%
[epoch:  8, 201/391] Loss: 0.678 | Accuracy: 75.944%
[epoch:  8, 251/391] Loss: 0.677 | Accuracy: 76.089%
[epoch:  8, 301/391] Loss: 0.680 | Accuracy: 76.020%
[epoch:  8, 351/391] Loss: 0.679 | Accuracy: 76.015%

Epoch:   9 | @lr=0.100 @momentum=0.9
[epoch:  9,   1/391] Loss: 0.695 | Accuracy: 77.344%
[epoch:  9,  51/391] Loss: 0.632 | Accuracy: 77.604%
[epoch:  9, 101/391] Loss: 0.628 | Accuracy: 77.614%
[epoch:  9, 151/391] Loss: 0.622 | Accuracy: 78.032%
[epoch:  9, 201/391] Loss: 0.622 | Accuracy: 78.156%
[epoch:  9, 251/391] Loss: 0.623 | Accuracy: 78.032%
[epoch:  9, 301/391] Loss: 0.618 | Accuracy: 78.224%
[epoch:  9, 351/391] Loss: 0.615 | Accuracy: 78.341%

Epoch:  10 | @lr=0.100 @momentum=0.9
[epoch: 10,   1/391] Loss: 0.711 | Accuracy: 75.781%
[epoch: 10,  51/391] Loss: 0.565 | Accuracy: 80.025%
[epoch: 10, 101/391] Loss: 0.563 | Accuracy: 80.159%
[epoch: 10, 151/391] Loss: 0.556 | Accuracy: 80.427%
[epoch: 10, 201/391] Loss: 0.556 | Accuracy: 80.453%
[epoch: 10, 251/391] Loss: 0.558 | Accuracy: 80.410%
[epoch: 10, 301/391] Loss: 0.559 | Accuracy: 80.409%
[epoch: 10, 351/391] Loss: 0.556 | Accuracy: 80.518%

Epoch:  11 | @lr=0.100 @momentum=0.9
[epoch: 11,   1/391] Loss: 0.521 | Accuracy: 80.469%
[epoch: 11,  51/391] Loss: 0.504 | Accuracy: 82.292%
[epoch: 11, 101/391] Loss: 0.511 | Accuracy: 82.062%
[epoch: 11, 151/391] Loss: 0.516 | Accuracy: 81.943%
[epoch: 11, 201/391] Loss: 0.512 | Accuracy: 82.082%
[epoch: 11, 251/391] Loss: 0.514 | Accuracy: 81.953%
[epoch: 11, 301/391] Loss: 0.513 | Accuracy: 81.951%
[epoch: 11, 351/391] Loss: 0.509 | Accuracy: 82.205%

Epoch:  12 | @lr=0.100 @momentum=0.9
[epoch: 12,   1/391] Loss: 0.462 | Accuracy: 84.375%
[epoch: 12,  51/391] Loss: 0.472 | Accuracy: 83.532%
[epoch: 12, 101/391] Loss: 0.482 | Accuracy: 83.338%
[epoch: 12, 151/391] Loss: 0.473 | Accuracy: 83.697%
[epoch: 12, 201/391] Loss: 0.471 | Accuracy: 83.714%
[epoch: 12, 251/391] Loss: 0.469 | Accuracy: 83.781%
[epoch: 12, 301/391] Loss: 0.468 | Accuracy: 83.768%
[epoch: 12, 351/391] Loss: 0.467 | Accuracy: 83.796%

Epoch:  13 | @lr=0.100 @momentum=0.9
[epoch: 13,   1/391] Loss: 0.337 | Accuracy: 88.281%
[epoch: 13,  51/391] Loss: 0.432 | Accuracy: 84.697%
[epoch: 13, 101/391] Loss: 0.437 | Accuracy: 84.684%
[epoch: 13, 151/391] Loss: 0.434 | Accuracy: 84.867%
[epoch: 13, 201/391] Loss: 0.435 | Accuracy: 84.838%
[epoch: 13, 251/391] Loss: 0.429 | Accuracy: 84.982%
[epoch: 13, 301/391] Loss: 0.429 | Accuracy: 84.946%
[epoch: 13, 351/391] Loss: 0.430 | Accuracy: 84.994%

Epoch:  14 | @lr=0.100 @momentum=0.9
[epoch: 14,   1/391] Loss: 0.409 | Accuracy: 87.500%
[epoch: 14,  51/391] Loss: 0.391 | Accuracy: 86.075%
[epoch: 14, 101/391] Loss: 0.385 | Accuracy: 86.456%
[epoch: 14, 151/391] Loss: 0.392 | Accuracy: 86.227%
[epoch: 14, 201/391] Loss: 0.393 | Accuracy: 86.210%
[epoch: 14, 251/391] Loss: 0.393 | Accuracy: 86.271%
[epoch: 14, 301/391] Loss: 0.397 | Accuracy: 86.187%
[epoch: 14, 351/391] Loss: 0.397 | Accuracy: 86.122%

Epoch:  15 | @lr=0.100 @momentum=0.9
[epoch: 15,   1/391] Loss: 0.388 | Accuracy: 82.031%
[epoch: 15,  51/391] Loss: 0.376 | Accuracy: 86.826%
[epoch: 15, 101/391] Loss: 0.372 | Accuracy: 87.075%
[epoch: 15, 151/391] Loss: 0.370 | Accuracy: 87.081%
[epoch: 15, 201/391] Loss: 0.371 | Accuracy: 87.072%
[epoch: 15, 251/391] Loss: 0.373 | Accuracy: 86.943%
[epoch: 15, 301/391] Loss: 0.375 | Accuracy: 86.919%
[epoch: 15, 351/391] Loss: 0.375 | Accuracy: 86.910%

Epoch:  16 | @lr=0.100 @momentum=0.9
[epoch: 16,   1/391] Loss: 0.372 | Accuracy: 88.281%
[epoch: 16,  51/391] Loss: 0.340 | Accuracy: 87.929%
